state,district,lat,lng,baseline_risk
Chhattisgarh,Koriya,23.476254,82.4776374,0.056960471397004664
Chhattisgarh,Mahasamund,21.1922846,82.4890263,0.04713970046648662
Chhattisgarh,Mungali,22.0661098,81.6874282,0.02995335133808004
Chhattisgarh,Narayanpur,19.5842032,81.1136986,0.0031917505524183647
Chhattisgarh,Raigarh,22.2361795,83.3529534,0.09010557328750307
Chhattisgarh,Raipur,21.2380912,81.6336993,0.17775595384237663
Chhattisgarh,Rajnandgaon,21.0684425,80.7970779,0.060888779769211886
Chhattisgarh,Sarguja,22.9470108,83.1656868,0.044193469187331205
Chhattisgarh,Sukma,18.2665423,81.2925234,0.004173827645470169
Chhattisgarh,Surajpur,23.3577769,82.9761277,0.05155904738521974
D&N Haveli,D&N Haveli,20.2733946,73.0044983,0.006137981831573778
Daman & Diu,Daman,20.4169701,72.833173,0.005401424011784925
Daman & Diu,Diu,20.7260366,70.9843583,0.0014731156395777069
Delhi Ut,Central,22.5724857,88.3587427,0.17554628038301007
Delhi Ut,East,12.8504319,77.6601401,0.4728701203044439
Delhi Ut,New Delhi,28.6138954,77.2090057,0.027989197151976432
Delhi Ut,North,10.5276682,79.5078054,0.12693346427694574
Delhi Ut,North-East,26.1144181,91.8053225,0.44095261478026027
Delhi Ut,North-West,13.0222347,77.5671832,0.32629511416646206
Delhi Ut,Outer,28.7603404,77.0362476,0.5607660201325804
Delhi Ut,South,28.4992605,77.1743624,0.6658482690891235
Delhi Ut,South-East,28.5591636,77.2402846,0.4274490547507979
Delhi Ut,South-West,5.3116321,100.2656047,0.43358703658237174
Delhi Ut,West,28.6409705,77.0949778,0.47925362140928063
Goa,C. I. D.,15.3004543,74.0855134,0.003437269825681316
Goa,North Goa,15.6038925,73.9967006,0.048367296832801374
Goa,South Goa,15.3376121,73.9937035,0.037809968082494476
Gujarat,Ahmedabad City,23.0215374,72.5800568,0.26172354529830594
Gujarat,Ahmedabad Rural,22.5809103,72.9784557,0.028725754971765282
Gujarat,Amreli,21.4176122,71.249609,0.0542597593911122
Gujarat,Anand,22.4739858,72.7361779,0.06506260741468205
Gujarat,Arvalli,23.4843216,73.3986096,0.027498158605450528
Gujarat,Banaskantha,24.2693869,72.5367513,0.09084213110729192
Gujarat,Bharuch,21.7080427,72.9956936,0.0422293150012276
Gujarat,Bhavnagar,21.7718836,72.1416449,0.04763073901301252
Gujarat,Botad,22.0467097,71.6689617,0.01767738767493248
Gujarat,Chhotaudepur,22.2224345,73.7778749,0.012030444389884607
Gujarat,Dahod,22.9194099,74.1342725,0.06162533758900074
Gujarat,Dang,20.7881718,73.7092033,0.00441934691873312
Gujarat,Devbhumi Dwarka,22.2473679,68.9682073,0.018168426221458384
Gujarat,Gandhinagar,23.2232877,72.6492267,0.048367296832801374
Gujarat,Gir Somnath,20.9298181,70.7627578,0.0427203535477535
Gujarat,Jamnagar,22.4732415,70.0552102,0.06211637613552664
Gujarat,Junagadh,21.5220416,70.4582458,0.06702676160078566
Gujarat,Kheda,22.8532503,72.9953586,0.04443898846059416
Gujarat,Mahisagar,23.1912194,73.6644398,0.020623618954087895
Gujarat,Mehsana,23.6012628,72.3741516,0.07905720599067027
Gujarat,Morbi,22.8003959,70.886232,0.025534004419346917
Gujarat,Narmada,21.7392624,73.6262458,0.006874539651362632
Gujarat,Navsari,20.952407,72.9323831,0.0211146575006138
Gujarat,Panchmahal,22.6978099,73.5980682,0.037318929535968576
Gujarat,Patan,23.773753,71.6798581,0.038301006629020376
Gujarat,Porbandar,21.6505229,69.6565371,0.024797446599558064
Gujarat,Rajkot City,22.3053263,70.8028377,0.08740486128161061
Gujarat,Sabarkantha,23.8688505,73.013784,0.05990670267616008
Gujarat,Surat City,21.2094892,72.8317058,0.12325067517800148
Gujarat,Surat Rural,22.296681,73.2535718,0.02602504296587282
Gujarat,Surendranagar,22.8251395,71.6209736,0.04026516081512399
Gujarat,Tapi,21.1916567,73.5560631,0.015713233488828873
Gujarat,Vadodara City,22.2973142,73.1942567,0.0979621900319175
Gujarat,Vadodara Rural,22.2367253,73.1802481,0.020623618954087895
Gujarat,Valsad,20.4321957,73.1409893,0.038301006629020376
Haryana,Ambala (Urban),12.9186803,77.5482356,0.037809968082494476
Haryana,Bhiwani,28.7931703,76.1391283,0.08863245764792536
Haryana,Faridabad,28.4031478,77.3105561,0.23889025288485147
Haryana,Fatehabad,29.5359209,75.5752901,0.06923643506015222
Haryana,Gurgaon,28.4646148,77.0299194,0.23545298305917015
Haryana,Hissar,29.839171,76.4373052,0.15001227596366315
Haryana,Jhajjar,28.5964461,76.6505366,0.08102136017677387
Haryana,Jind,29.3152073,76.314082,0.07242818561257058
Haryana,Kaithal,29.7996588,76.3989903,0.0758654554382519
Haryana,Karnal,29.7255766,76.9106924,0.1689172600049104
Haryana,Kurukshetra,29.9693747,76.8482787,0.08003928308372207
Haryana,Mahendergarh,28.2726226,76.1493925,0.06923643506015222
Haryana,Mewat,27.9935177,77.0419634,0.07316474343235944
Haryana,Palwal,28.0599426,77.3223422,0.08912349619445127
Haryana,Panchkula,30.6975401,76.8551066,0.060888779769211886
Haryana,Panipat,29.3912753,76.9771675,0.1095015958752762
Haryana,Rewari,28.1956468,76.6165179,0.08151239872329978
Haryana,Rohtak,28.9010899,76.5801935,0.1843849742204763
Haryana,Sirsa,29.6063041,74.9036568,0.08396759145592929
Haryana,Sonipat,28.9953758,77.0233627,0.10483672968328014
Haryana,Yamunanagar,30.1231349,77.286329,0.13528111956788608
Himachal Pradesh,Baddi,30.9763026,76.7674001,0.013749079302725264
Himachal Pradesh,Bilaspur,31.3380959,76.7611631,0.02774367787871348
Himachal Pradesh,C. I. D.,31.9292352,77.1828462,0.0
Himachal Pradesh,Chamba,32.6923316,76.1631552,0.0216056960471397
Himachal Pradesh,Hamirpur,31.6539866,76.5403633,0.019150503314510188
Himachal Pradesh,Kangra,32.0768665,76.2985872,0.056469432850478764
Himachal Pradesh,Kinnaur,31.593013,78.3281417,0.004910385465259023
Himachal Pradesh,Kullu,31.9578974,77.1089232,0.01743186840166953
Himachal Pradesh,Lahaul & Spiti,32.509934,77.0243657,0.0009820770930518046
Himachal Pradesh,Mandi,31.6516617,77.0092542,0.046403142646697766
Himachal Pradesh,Shimla,31.1040393,77.1707923,0.03535477534986496
Himachal Pradesh,Sirmaur,30.6991321,77.4465304,0.031180947704394796
Himachal Pradesh,Solan,30.9077569,77.1023645,0.012767002209673459
Himachal Pradesh,Una,31.5834642,76.2351452,0.028725754971765282
Jammu & Kashmir,Anantnag,33.74611,75.1854475,0.0633439725018414
Jammu & Kashmir,Awantipora,33.91891,75.01465,0.01497667566904002
Jammu & Kashmir,Bandipora,34.4232433,74.635965,0.020869138227350845
Jammu & Kashmir,Baramulla,34.2086903,74.343498,0.04861281610606433
Jammu & Kashmir,Budgam,33.9098746,74.6270357,0.03314510189049841
Jammu & Kashmir,Crime Jammu,34.0714255,74.8032176,0.00024551927326295114
Jammu & Kashmir,Crime Srinagar,34.0714255,74.8032176,0.0
Jammu & Kashmir,Doda,33.1341373,75.587915,0.01718634912840658
Jammu & Kashmir,Ganderbal,34.2889322,75.0407983,0.024306408053032164
Jammu & Kashmir,Handwara,34.3993139,74.2827396,0.025534004419346917
Jammu & Kashmir,Jammu,32.7185614,74.8580917,0.12079548244537196
Jammu & Kashmir,Kargil,32.7045476,74.871206,0.0012275963663147557
Jammu & Kashmir,Kathua,32.3765524,75.5243044,0.037318929535968576
Jammu & Kashmir,Kishtwar,33.61562,75.8793972,0.009575251657255094
Jammu & Kashmir,Kulgam,33.6446899,75.0188432,0.04296587282101645
Jammu & Kashmir,Kupwara,34.5140696,74.191367,0.036091333169653815
Jammu & Kashmir,Leh,34.0861163,74.8233795,0.001718634912840658
Jammu & Kashmir,Poonch,33.7670004,74.0957143,0.02136017677387675
Jammu & Kashmir,Pulwama,33.9490472,75.0418335,0.018904984041247238
Jammu & Kashmir,Rajouri,33.3772495,74.3132332,0.051068008838693835
Jammu & Kashmir,Ramban,33.2116371,75.2050989,0.018168426221458384
Jammu & Kashmir,Reasi,33.0691032,74.8378698,0.018659464767984288
Jammu & Kashmir,Samba,32.5759118,75.1203446,0.010311809477043948
Jammu & Kashmir,Shopian,33.718807,74.8333311,0.020378099680824945
Jammu & Kashmir,Sopore,34.2850498,74.4639353,0.031180947704394796
Jammu & Kashmir,Srinagar,34.0747444,74.8204443,0.1161306162533759
Jammu & Kashmir,Udhampur,32.9219726,75.1331482,0.02136017677387675
Jharkhand,Bokaro,23.6991279,85.9910689,0.12128652099189786
Jharkhand,Chaibasa,22.5483518,85.8188876,0.042474834274490544
Jharkhand,Chatra,24.1062316,84.8623379,0.045912104100171866
Jharkhand,Deoghar,24.4898318,86.6990182,0.13724527375398968
Jharkhand,Dhanbad,23.7952809,86.4309638,0.09575251657255095
Jharkhand,Dumka,24.2677937,87.2485495,0.04959489319911613
Jharkhand,Garhwa,24.053577,83.6526818,0.06629020378099681
Jharkhand,Giridih,24.3314546,86.1548117,0.16547999017922907
Jharkhand,Godda,24.8645886,87.2984838,0.05205008593174564
Jharkhand,Gumla,23.1603759,84.4599565,0.03928308372207218
Jharkhand,Hazaribagh,24.0866962,85.4912231,0.10336361404370244
Jharkhand,Jamshedpur,22.8015194,86.2029579,0.13945494721335625
Jharkhand,Jamtara,23.9801639,86.9243637,0.050085931745642034
Jharkhand,Khunti,22.9281801,85.2814475,0.010311809477043948
Jharkhand,Koderma,24.4931239,85.5560811,0.03584581389639087
Jharkhand,Latehar,23.6880057,84.4969551,0.035109256076602015
Jharkhand,Lohardagga,23.4770044,84.6986684,0.029462312791554136
Jharkhand,Pakur,24.5325908,87.593232,0.06506260741468205
Jharkhand,Palamu,24.2212983,84.1725565,0.06211637613552664
Jharkhand,Ramgarh,23.693479,85.5215989,0.056960471397004664
Jharkhand,Ranchi,23.3700501,85.3250387,0.06702676160078566
Jharkhand,Sahebganj,25.0320437,87.691764,0.065308126687945
Jharkhand,Saraikela,22.7464225,85.9168929,0.04517554628038301
Jharkhand,Simdega,22.5904573,84.5464805,0.01497667566904002
Karnataka,Bagalkot,16.1793224,75.6999315,0.06236189540878959
Karnataka,Ballari,15.3483166,76.8054883,0.07512889761846304
Karnataka,Belagavi City,15.8572666,74.5069343,0.04934937392585318
Karnataka,Belagavi District,16.1587846,74.888862,0.10434569113675424
Karnataka,Bengaluru City,13.0222347,77.5671832,0.7559538423766266
Karnataka,Bengaluru District,13.0222347,77.5671832,0.10459121041001719
Karnataka,Bidar,18.0207297,77.2487204,0.0748833783452001
Karnataka,Chamarajnagar,11.8073312,76.6923569,0.03658237171617972
Karnataka,Chikkaballapura,13.5897941,77.778793,0.04026516081512399
Karnataka,Chikkamagaluru,13.4058699,75.638758,0.08028480235698503
Karnataka,Chitradurga,14.3049174,76.5296667,0.10680088386938374
Karnataka,Dakshina Kannada,12.8226434,75.2265036,0.04443898846059416
Karnataka,Davanagere,14.2558835,75.8303421,0.0945249202062362
Karnataka,Dharwad,15.3707296,75.1332867,0.02332433095998036
Karnataka,Gadag,15.416692,75.6815801,0.020869138227350845
Karnataka,Hassan,13.0301852,76.1744968,0.09133316965381783
Karnataka,Haveri,14.7180268,75.3656423,0.03314510189049841
Karnataka,K.G.F.,13.0812545,78.3588533,0.010311809477043948
